X,Y,Name,description,AWARDED_DATE,LANDYADDRESSPOINT,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,APPROXIMATE_GFA,INFO_ON_CO_LOCATORS,ADDRESSBUILDINGNAME,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D
103.775995008012,1.33937596351523,Bukit Timah Market,HUP Standard Upgrading,,35726.98,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,51,1975,Existing,3310.64,,,2/1/2003,21620.5,Upper Bukit Timah Road,588215,,"51, Upper Bukit Timah Road, Singapore 588215",FD4DDC8C07732176,20221012163049
103.850225081031,1.31615991374589,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),HUP Reconfiguration,,33159.8,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,41A,18/12/1981,Existing,,,,7/3/2003,29881.53,Cambridge Road,211041,,"Blk 41A, Cambridge Road, Singapore 211041",FBD170F30CEE818F,20221012163049
103.988245749103,1.38915172065006,Changi Village Blk 2 and 3,HUP Standard Upgrading,,41231.42,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,2&3,12/11/1975,Existing,,,,28/12/2012,45241.4,Changi Village Road,500002,,"Blk 2/3, Changi Village Road, Singapore 500002/500003",DC5973E8A24B7C85,20221012163049
103.866536130299,1.36422852315868,Chomp Chomp Food Centre,HUP Standard Upgrading,,38475,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,20,1972,Existing,613.55,,,31/3/2004,31696.72,Kensington Park Road,557269,,"20, Kensington Park Road, Singapore 557269",FD83AAB0BD194D68,20221012163049
103.882977999397,1.37542896666561,Ci Yuan Hawker Centre,New Centre,,39713.52,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,51,2/7/2015,Existing (new),2047.29,hawker centre/community club/family medicine clinic/senior care centre,,,33526.48,Hougang Avenue 9,538776,,"51 Hougang Avenue 9, Singapore 538776",2AA90E9CB7222D3A,20221012163049
103.885043500019,1.32644992167231,Circuit Road Blk 79/79A,HUP Standard Upgrading,,34297.67,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,79/79A,31/3/1971,Existing,,,,11/5/2010,33756.46,Circuit Road,370079,,"Blk 79/79A, Circuit Road, Singapore 370079/371079",B1F15E00F852A8E2,20221012163049
103.887128535137,1.32784956142548,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),HUP Reconfiguration,,34452.44,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,80,1/9/1967,Existing,,,,22/2/2003,33988.5,Circuit Road,370080,,"Blk 80, Circuit Road, Singapore 370080",3BE7F742CBA359E0,20221012163049
103.885449224256,1.32344525333847,Circuit Road Blk 89,HUP Standard Upgrading,,33965.43,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,89,1/9/1967,Existing,,,,8/4/2009,33801.62,Circuit Road,370089,,"Blk 89, Circuit Road, Singapore 370089",4EDE2CCE7F5DCE1F,20221012163049
103.770836740843,1.31436772839327,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),HUP Standard Upgrading,,32961.71,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,353,26/1/1978,Existing,,,,25/10/2012,21046.37,Clementi Ave 2,120353,,"Blk 353, Clementi Ave 2, Singapore 120353",42176A300DC70AF6,20221012163049
103.764510533078,1.31326486994113,Clementi Ave 3 Blk 448,HUP Standard Upgrading,,32839.78,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,448,12/1/1980,Existing,,,,29/10/2010,20342.32,Clementi Ave 3,120448,,"Blk 448, Clementi Ave 3, Singapore 120448",FDAC6B27AB208E31,20221012163049
