flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
328 SERANGOON AVE 3,Japanese Cemetery Park,1.92,1,NEX,0.44,3,Yangzheng Primary School,0.18,1,Woodleigh Village Hawker Centre,1.23,5
14 ST. GEORGE'S RD,Toa Payoh Town Park,1.75,2,The Poiz,1.02,4,Pei Chun Public School,1.63,1,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.51,11
670 WOODLANDS DR 71,Admiralty Park,1.72,1,Admiralty Place,0.33,6,Admiralty Primary School,0.43,2,Kampung Admiralty Hawker Centre,0.2,1
541 WOODLANDS DR 16,Marsiling Park,2.55,0,Vista Point,0.31,6,Admiralty Primary School,1.79,1,Kampung Admiralty Hawker Centre,1.57,2
5 JLN BATU,Choa Chu Kang Park,0.95,1,Greenridge Shopping Centre,1.21,10,West Spring Primary School,1.02,3,Senja Hawker Centre,0.64,1
631 BEDOK RESERVOIR RD,Bedok Town Park,0.84,1,Bedok Mall,1.79,2,Maha Bodhi School,1.6,2,Bedok Reservoir Road Blk 630,0.1,5
161 MEI LING ST,Telok Blangah Hill Park,1.61,4,Anchorpoint,0.37,4,Fairfield Methodist School (Primary),2.24,0,Mei Chin Road Blk 159 (Mei Chin Road Market),0.2,10
115 BEDOK RESERVOIR RD,Bedok Town Park,1.57,1,Singpost Centre,2.01,0,Maha Bodhi School,0.86,1,Bedok Reservoir Road Blk 630,0.65,4
52 CIRCUIT RD,Kallang Riverside Park,2.68,0,Paya Lebar Square,0.99,2,Kong Hwa School,1.5,2,Circuit Road Blk 89,0.08,11
322 JURONG EAST ST 31,Chinese Garden,0.76,2,Taman Jurong Shopping Centre,1.75,2,Rulang Primary School,1.2,2,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),0.4,6
236 PASIR RIS ST 21,Pasir Ris Town Park,1.17,2,Downtown East,0.79,2,Pasir Ris Primary School,0.23,1,Pasir Ris Central Hawker Centre,1.23,1
169A PUNGGOL FIELD,Pasir Ris Park,1.77,3,Punggol Plaza,0.19,5,Horizon Primary School,0.72,5,One Punggol Hawker Centre,1.98,1
52 LENGKOK BAHRU,Telok Blangah Hill Park,1.11,4,Anchorpoint,0.86,4,Radin Mas Primary School,1.92,1,Redhill Lane Blk 79 (Redhill Market),0.57,16
1 BEACH RD,War Memorial Park,0.22,10,Raffles City,0.15,28,River Valley Primary School,2.05,0,Queen Street Blk 270 (Albert Centre),0.69,12
423 JURONG WEST AVE 1,Chinese Garden,1.25,2,Boon Lay Shopping Centre,1.53,2,Rulang Primary School,0.9,2,Jurong West Street 52 Blk 505,0.79,6
88 DAWSON RD,Telok Blangah Hill Park,1.88,4,Anchorpoint,0.86,3,Fairfield Methodist School (Primary),2.7,0,Margaret Drive Hawker Centre,0.54,11
804 YISHUN RING RD,Lower Seletar Reservoir Park,0.91,3,Wisteria Mall,1.1,2,Northland Primary School,1.12,2,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.53,2
441 HOUGANG AVE 8,Punggol Park,0.27,2,Sengkang Grand Mall,0.52,7,Holy Innocents’ Primary School,1.27,3,Buangkok Hawker Centre,0.47,2
497D TAMPINES ST 45,Tampines Eco Green,1.33,3,Tampines 1,1.6,6,Gongshang Primary School,1.12,4,Pasir Ris Central Hawker Centre,1.82,1
950 HOUGANG ST 91,Japanese Cemetery Park,1.15,2,Buangkok Square,1.02,8,Xinmin Primary School,0.67,3,Ci Yuan Hawker Centre,0.47,6
185 JELEBU RD,Choa Chu Kang Park,2.07,0,Hillion Mall,0.18,7,Zhenghua Primary School,0.78,4,Senja Hawker Centre,0.87,2
244 COMPASSVALE RD,Sengkang Sculpture Park,0.29,3,Compass One,0.45,8,Punggol Green Primary School,0.92,6,Anchorvale Village Hawker Centre,1.22,3
13 MARSILING LANE,Marsiling Park,0.46,2,Marsiling Mall,0.84,5,Admiralty Primary School,2.32,0,Marsiling Lane Blk 20/21,0.38,2
874 TAMPINES ST 84,Sun Plaza Park,1.43,1,Our Tampines Hub,0.91,5,Tampines Primary School,1.41,2,Hawker Centre @ Our Tampines Hub,0.87,2
250 PASIR RIS ST 21,Pasir Ris Town Park,1.17,2,Downtown East,1.03,2,Pasir Ris Primary School,0.24,1,Pasir Ris Central Hawker Centre,1.31,1
217 BOON LAY AVE,Jurong Central Park,1.3,1,Boon Lay Shopping Centre,0.38,5,Rulang Primary School,0.88,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.51,3
441 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.66,3,AMK Hub,0.73,5,Ai Tong School,2.43,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.34,10
229 YISHUN ST 21,Yishun Neighbourhood Park,0.39,4,Junction Nine,0.54,5,Chongfu School,0.45,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.04,2
358 YUNG AN RD,Japanese Garden,0.96,3,Taman Jurong Shopping Centre,0.18,3,Rulang Primary School,1.17,1,Taman Jurong Market and Food Centre,0.22,4
523 JURONG WEST ST 52,Jurong Central Park,1.32,3,Boon Lay Shopping Centre,0.42,3,Rulang Primary School,0.26,2,Jurong West Street 52 Blk 505,0.41,4
268 PASIR RIS ST 21,Pasir Ris Town Park,1.36,2,Downtown East,1.44,2,Pasir Ris Primary School,0.79,2,Pasir Ris Central Hawker Centre,1.56,1
16 TECK WHYE LANE,Choa Chu Kang Park,1.67,1,Teck Whye Shopping Centre,0.32,10,South View Primary School,1.03,4,Senja Hawker Centre,1.18,2
257 BISHAN ST 22,Bishan-Ang Mo Kio Park,0.97,3,Thomson V,1.11,6,Ai Tong School,1.13,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.75,9
372 CLEMENTI AVE 4,West Coast Park,1.43,1,The Clementi Mall,0.66,4,Pei Hwa Presbyterian Primary School,2.22,0,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),0.69,5
1G CANTONMENT RD,Tanjong Pagar Park,0.57,6,Tanjong Pagar Centre,0.12,9,Radin Mas Primary School,1.9,1,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),0.24,11
670 HOUGANG AVE 8,Japanese Cemetery Park,1.22,2,Hougang Green Shopping Mall,0.78,6,Xinmin Primary School,0.26,2,Ci Yuan Hawker Centre,0.33,3
249 TAMPINES ST 21,Sun Plaza Park,0.94,2,Tampines Mall,0.43,6,Chongzheng Primary School,0.35,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.81,2
615 ELIAS RD,Pasir Ris Town Park,1.31,4,Pasir Ris West Plaza,0.71,3,Gongshang Primary School,2.27,0,Pasir Ris Central Hawker Centre,1.14,1
412A FERNVALE LINK,Sengkang Riverside Park,1.45,1,The Seletar Mall,0.32,6,Sengkang Green Primary School,0.5,3,Fernvale Hawker Centre & Market,0.28,4
415 HOUGANG AVE 10,Punggol Park,0.28,1,Hougang Mall,0.43,6,Holy Innocents’ Primary School,0.95,2,Buangkok Hawker Centre,0.92,2
66 LOR 4 TOA PAYOH,Toa Payoh Town Park,0.65,1,HDB Hub,0.4,5,Pei Chun Public School,0.44,2,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),0.06,8
301A PUNGGOL CTRL,Punggol Waterway Park,0.77,3,Waterway Point,0.51,6,Punggol View Primary School,0.16,7,One Punggol Hawker Centre,0.47,2
311C CLEMENTI AVE 4,West Coast Park,1.2,1,The Clementi Mall,0.59,4,Pei Hwa Presbyterian Primary School,2.31,0,Clementi Ave 3 Blk 448,0.77,5
345 YISHUN AVE 11,Yishun Pond Park,0.45,3,Junction Nine,0.57,3,Huamin Primary School,0.17,3,Yishun Park Hawker Centre,0.39,2
998B BUANGKOK CRES,Sengkang Riverside Park,1.75,2,Buangkok Square,0.13,7,Sengkang Green Primary School,1.13,4,Fernvale Hawker Centre & Market,0.91,4
440 YISHUN AVE 11,Yishun Pond Park,0.91,1,Wisteria Mall,0.73,3,Huamin Primary School,0.55,3,Yishun Park Hawker Centre,0.33,1
507B WELLINGTON CIRCLE,Yishun Park,1.86,1,Sun Plaza,0.68,3,Wellington Primary School,0.16,1,Bukit Canberra Hawker Centre,0.44,1
638 HOUGANG AVE 8,Japanese Cemetery Park,0.64,1,Hougang Green Shopping Mall,1.38,6,Xinmin Primary School,0.49,2,Ci Yuan Hawker Centre,0.7,5
231 HOUGANG ST 21,Japanese Cemetery Park,1.45,1,Hougang 1,0.27,5,Holy Innocents’ Primary School,1.19,2,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),0.24,3
308 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,0.88,3,AMK Hub,0.6,5,Ai Tong School,1.38,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.47,11
138 EDGEDALE PLAINS,Sengkang Sculpture Park,1.47,1,Punggol Plaza,0.4,6,Horizon Primary School,0.85,6,One Punggol Hawker Centre,1.79,1
634 CHOA CHU KANG NTH 6,Choa Chu Kang Park,0.5,1,Yew Tee Square,0.33,5,South View Primary School,1.7,2,Senja Hawker Centre,1.64,1
27 TANGLIN HALT RD,One-north Park,1.14,2,Anchorpoint,1.22,5,Fairfield Methodist School (Primary),1.62,1,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),0.27,10
298 YISHUN ST 20,Yishun Neighbourhood Park,0.21,4,Junction Nine,0.79,4,Chongfu School,0.55,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.87,2
10 JLN BATU,Kallang Riverside Park,1.72,1,Leisure Park Kallang,0.75,2,Kong Hwa School,1.16,1,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),0.12,5
451A BT BATOK WEST AVE 6,Bukit Batok Town Park,1.51,2,West Mall,0.75,1,Princess Elizabeth Primary School,0.49,3,Bukit Batok West Hawker Centre,0.27,3
887 TAMPINES ST 81,Sun Plaza Park,1.61,1,Our Tampines Hub,0.98,5,Tampines Primary School,1.35,3,Hawker Centre @ Our Tampines Hub,0.95,3
470 SEGAR RD,Zhenghua Park,2.32,0,Fajar Shopping Centre,0.6,5,West Spring Primary School,0.79,3,Bukit Panjang Hawker Centre,1.2,2
707 CLEMENTI WEST ST 2,Clementi Woods Park,0.92,2,West Coast Plaza,0.51,4,Fairfield Methodist School (Primary),2.64,0,Clementi West Street 2 Blk 726,0.35,5
122B SENGKANG EAST WAY,Sengkang Sculpture Park,1.38,2,Rivervale Plaza,0.55,6,Horizon Primary School,1.57,5,Buangkok Hawker Centre,1.66,1
131 BEDOK RESERVOIR RD,Bedok Town Park,1.19,1,Bedok Mall,2.13,0,Maha Bodhi School,1.27,1,Bedok Reservoir Road Blk 630,0.26,3
256 SERANGOON CTRL DR,Japanese Cemetery Park,1.29,1,NEX,0.49,4,Yangzheng Primary School,0.78,1,Serangoon Garden Market,1.03,5
58 JLN MA'MOR,Toa Payoh Town Park,1.06,1,HDB Hub,0.91,5,Pei Chun Public School,0.95,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.64,11
52 LOR 6 TOA PAYOH,Toa Payoh Town Park,0.99,1,HDB Hub,0.75,4,Pei Chun Public School,0.36,2,Toa Payoh Lorong 5 Blk 75,0.25,8
149 SIMEI ST 1,Sun Plaza Park,1.99,1,Eastpoint Mall,0.49,7,Chongzheng Primary School,0.74,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.27,1
448 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.75,2,AMK Hub,0.91,4,Yangzheng Primary School,2.48,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.09,9
113 BEDOK NTH ST 2,Bedok Town Park,1.49,1,Bedok Mall,0.77,2,Red Swastika School,0.42,3,Bedok North Street 1 Blk 216,0.42,8
988C BUANGKOK GREEN,Japanese Cemetery Park,1.66,1,Buangkok Square,0.66,5,Xinmin Primary School,1.18,3,Ci Yuan Hawker Centre,0.83,3
250 KIM KEAT LINK,Toa Payoh Town Park,0.99,1,HDB Hub,0.76,4,Pei Chun Public School,0.55,2,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),0.36,12
323 JURONG EAST ST 31,Chinese Garden,0.8,2,Taman Jurong Shopping Centre,1.77,2,Rulang Primary School,1.19,2,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),0.45,6
412 HOUGANG AVE 10,Punggol Park,0.35,1,Hougang Mall,0.3,6,Holy Innocents’ Primary School,0.87,2,Buangkok Hawker Centre,0.91,2
174A EDGEDALE PLAINS,Sengkang Sculpture Park,1.62,3,Punggol Plaza,0.31,6,Horizon Primary School,0.42,6,One Punggol Hawker Centre,1.49,1
507 BEDOK NTH AVE 3,Bedok Town Park,1.15,1,Bedok Mall,0.83,2,Yu Neng Primary School,0.11,2,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),0.22,8
672B KLANG LANE,Dhoby Ghaut Green,1.39,5,Tekka Centre,0.4,23,Anglo-Chinese School (Junior),1.26,1,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),0.41,10
72 REDHILL RD,Tiong Bahru Park,0.92,4,Anchorpoint,1.21,5,Radin Mas Primary School,1.63,1,Redhill Lane Blk 85 (Redhill Food Centre),0.22,18
48 STRATHMORE AVE,Telok Blangah Hill Park,1.68,2,Anchorpoint,0.59,3,Fairfield Methodist School (Primary),2.6,0,Margaret Drive Hawker Centre,0.53,11
123E RIVERVALE DR,Sengkang Sculpture Park,1.13,2,Rivervale Plaza,0.16,7,Springdale Primary School,1.68,3,Buangkok Hawker Centre,1.24,2
536 HOUGANG ST 52,Punggol Park,0.76,2,Hougang Green Shopping Mall,0.3,6,Xinmin Primary School,0.96,3,Buangkok Hawker Centre,0.66,2
119 HOUGANG AVE 1,Japanese Cemetery Park,1.73,1,Hougang 1,0.37,4,Holy Innocents’ Primary School,1.6,2,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.26,2
626 HOUGANG AVE 8,Japanese Cemetery Park,0.77,2,Heartland Mall,1.18,8,Xinmin Primary School,0.2,2,Ci Yuan Hawker Centre,0.63,6
441 FAJAR RD,Zhenghua Park,1.87,1,Fajar Shopping Centre,0.04,5,Zhenghua Primary School,0.44,3,Bukit Panjang Hawker Centre,0.65,2
518 SERANGOON NTH AVE 4,Japanese Cemetery Park,0.77,1,myVillage At Serangoon Garden,1.23,5,Xinmin Primary School,1.0,1,Ci Yuan Hawker Centre,1.07,4
291B COMPASSVALE ST,Sengkang Sculpture Park,0.22,3,Compass One,0.57,7,Punggol Green Primary School,0.65,7,Anchorvale Village Hawker Centre,1.12,3
458 CLEMENTI AVE 3,Clementi Woods Park,1.3,2,321 Clementi,0.21,4,Fairfield Methodist School (Primary),2.4,0,Clementi Ave 3 Blk 448,0.32,5
443B BT BATOK WEST AVE 8,Chinese Garden,1.63,2,West Mall,1.41,1,Princess Elizabeth Primary School,0.83,2,Bukit Batok West Hawker Centre,0.46,3
896A TAMPINES ST 81,Sun Plaza Park,1.69,2,Our Tampines Hub,1.0,5,Tampines Primary School,1.28,3,Hawker Centre @ Our Tampines Hub,0.99,4
318 UBI AVE 1,Bedok Town Park,2.22,0,Singpost Centre,1.4,2,Maha Bodhi School,0.22,1,Eunos Crescent Blk 4A,0.91,5
153 SIMEI ST 1,Sun Plaza Park,2.13,0,Eastpoint Mall,0.54,5,Chongzheng Primary School,0.89,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.4,1
4 UPP ALJUNIED LANE,Kallang Riverside Park,3.15,0,The Poiz,1.36,1,Yangzheng Primary School,2.04,0,Circuit Road Blk 79/79A,1.03,7
171 BISHAN ST 13,Toa Payoh Town Park,1.91,1,Junction 8,0.69,2,Pei Chun Public School,1.12,2,Toa Payoh Lorong 8 Blk 210,0.73,8
621 SENJA RD,Choa Chu Kang Park,1.71,1,Greenridge Shopping Centre,0.38,7,West Spring Primary School,0.53,4,Senja Hawker Centre,0.24,2
404 TAMPINES ST 41,Sun Plaza Park,0.14,3,Tampines 1,0.37,7,Gongshang Primary School,0.53,3,Hawker Centre @ Our Tampines Hub,0.67,3
491 ADMIRALTY LINK,Admiralty Park,2.44,0,Sun Plaza,0.9,3,Wellington Primary School,0.69,1,Bukit Canberra Hawker Centre,0.95,1
623 BT BATOK CTRL,Bukit Batok Town Park,1.03,2,West Mall,0.06,3,Dazhong Primary School,0.93,3,Bukit Batok West Hawker Centre,0.97,2
844 YISHUN ST 81,Lower Seletar Reservoir Park,0.81,3,Wisteria Mall,0.7,2,Northland Primary School,0.85,2,Yishun Park Hawker Centre,1.47,2
453 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.66,2,AMK Hub,0.84,4,Yangzheng Primary School,2.61,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.06,10
722 WOODLANDS AVE 6,Admiralty Park,1.01,1,Woodlands Mart,0.14,6,Riverside Primary School,0.32,2,Kampung Admiralty Hawker Centre,0.64,1
259 BT BATOK EAST AVE 4,Bukit Batok Nature Park,0.67,3,West Mall,1.19,4,Keming Primary School,0.77,2,Bukit Batok West Hawker Centre,2.05,0
425 HOUGANG AVE 6,Punggol Park,0.56,1,Hougang Mall,0.1,7,Holy Innocents’ Primary School,0.72,2,Buangkok Hawker Centre,1.0,3
217C SUMANG WALK,Sengkang Sculpture Park,0.84,3,Waterway Point,0.87,6,Punggol Green Primary School,0.37,7,Anchorvale Village Hawker Centre,0.98,3
352 JURONG EAST ST 31,Chinese Garden,0.4,2,Taman Jurong Shopping Centre,1.57,3,Princess Elizabeth Primary School,1.24,2,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),0.14,6
845 TAMPINES ST 83,Sun Plaza Park,1.23,2,Our Tampines Hub,0.6,5,Tampines Primary School,1.04,3,Hawker Centre @ Our Tampines Hub,0.57,2
103B EDGEFIELD PLAINS,Sengkang Sculpture Park,0.94,3,Rivervale Mall,0.61,6,Punggol Green Primary School,0.79,8,One Punggol Hawker Centre,1.16,3
518C TAMPINES CTRL 7,Sun Plaza Park,0.6,2,Our Tampines Hub,0.34,5,Tampines Primary School,0.92,3,Hawker Centre @ Our Tampines Hub,0.29,2
940 TAMPINES AVE 5,Sun Plaza Park,1.1,2,Century Square,0.43,6,Tampines Primary School,0.3,5,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.53,3
241 COMPASSVALE WALK,Sengkang Sculpture Park,0.55,3,Compass One,0.37,9,Springdale Primary School,1.01,4,Buangkok Hawker Centre,1.03,2
514 BEDOK NTH AVE 2,Bedok Town Park,0.77,1,Bedok Mall,0.68,2,Yu Neng Primary School,0.4,2,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),0.22,8
105 GANGSA RD,Zhenghua Park,1.63,2,Bukit Panjang Plaza,0.42,7,Zhenghua Primary School,0.22,3,Bukit Panjang Hawker Centre,0.53,2
133 TECK WHYE LANE,Choa Chu Kang Park,1.3,1,Teck Whye Shopping Centre,0.16,11,South View Primary School,0.56,2,Senja Hawker Centre,1.3,1
241 JURONG EAST ST 24,Chinese Garden,1.14,2,Westgate,0.81,4,Princess Elizabeth Primary School,0.89,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.62,3
396 TAMPINES AVE 7,Tampines Eco Green,1.28,3,Tampines 1,1.24,6,Chongzheng Primary School,0.8,4,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.72,2
110 SPOTTISWOODE PK RD,Tanjong Pagar Park,1.15,4,Tanjong Pagar Centre,0.7,8,Radin Mas Primary School,1.37,1,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),0.82,13
851 YISHUN ST 81,Lower Seletar Reservoir Park,0.91,3,Wisteria Mall,0.56,2,Northland Primary School,0.75,2,Yishun Park Hawker Centre,1.37,2
860 WOODLANDS ST 83,Admiralty Park,1.62,1,Woodlands North Plaza,0.51,7,Admiralty Primary School,0.76,2,Kampung Admiralty Hawker Centre,0.75,3
673B EDGEFIELD PLAINS,Punggol Waterway Park,0.82,2,Oasis Terraces,0.52,5,Oasis Primary School,0.28,7,One Punggol Hawker Centre,0.71,2
107C EDGEFIELD PLAINS,Sengkang Sculpture Park,1.22,2,Rivervale Mall,0.6,6,Horizon Primary School,0.72,8,One Punggol Hawker Centre,1.32,2
356 HOUGANG AVE 7,Punggol Park,0.64,1,Hougang Mall,0.56,4,Holy Innocents’ Primary School,0.82,2,Buangkok Hawker Centre,1.3,2
406 TAMPINES ST 41,Sun Plaza Park,0.26,3,Tampines 1,0.37,7,Gongshang Primary School,0.38,3,Hawker Centre @ Our Tampines Hub,0.81,3
729 JURONG WEST AVE 5,Jurong Central Park,1.45,1,Gek Poh Shopping Centre,0.26,4,Westwood Primary School,0.31,2,Jurong West Hawker Centre,0.57,2
234A SUMANG LANE,Sengkang Riverside Park,0.63,3,Compass One,1.12,3,Punggol Green Primary School,0.77,6,Anchorvale Village Hawker Centre,0.65,3
404 YISHUN AVE 6,Yishun Pond Park,0.91,2,Junction Nine,1.02,3,Huamin Primary School,0.44,3,Yishun Park Hawker Centre,0.42,1
114 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.77,3,Broadway Plaza,1.09,3,Ai Tong School,1.37,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.39,7
162 BISHAN ST 13,Toa Payoh Town Park,2.08,0,Junction 8,0.88,3,Pei Chun Public School,1.2,2,Toa Payoh Lorong 8 Blk 210,0.83,8
359 YISHUN RING RD,Yishun Pond Park,0.63,3,Junction Nine,0.77,3,Huamin Primary School,0.17,3,Yishun Park Hawker Centre,0.29,2
332 TAMPINES ST 32,Tampines Eco Green,1.82,2,Eastpoint Mall,1.44,4,Chongzheng Primary School,1.08,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.97,1
808D CHOA CHU KANG AVE 1,Choa Chu Kang Park,1.95,1,Keat Hong Shopping Centre,0.3,6,South View Primary School,0.76,2,Senja Hawker Centre,2.2,0
472 PASIR RIS DR 6,Pasir Ris Town Park,0.61,2,Downtown East,0.27,2,Pasir Ris Primary School,0.65,1,Pasir Ris Central Hawker Centre,0.64,1
415A FERNVALE LINK,Sengkang Riverside Park,1.35,1,The Seletar Mall,0.45,6,Sengkang Green Primary School,0.63,4,Fernvale Hawker Centre & Market,0.38,4
260 BISHAN ST 22,Bishan-Ang Mo Kio Park,0.9,3,Thomson V,1.02,6,Ai Tong School,1.03,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.84,9
174 BISHAN ST 13,Toa Payoh Town Park,2.08,0,Junction 8,0.68,2,Pei Chun Public School,1.27,2,Toa Payoh Lorong 8 Blk 210,0.88,9
721 YISHUN ST 71,Sembawang Park,0.4,5,Northpoint City,0.86,5,Northland Primary School,1.45,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.59,2
104 HENDERSON CRES,Tiong Bahru Park,0.41,5,Tiong Bahru Plaza,0.75,6,Radin Mas Primary School,1.62,2,Redhill Lane Blk 79 (Redhill Market),0.39,13
138 SERANGOON NTH AVE 2,Japanese Cemetery Park,0.36,1,myVillage At Serangoon Garden,1.21,6,Xinmin Primary School,0.91,1,Chomp Chomp Food Centre,1.1,4
115 YISHUN RING RD,Yishun Neighbourhood Park,0.87,4,Sembawang Shopping Centre,0.88,5,Chongfu School,1.33,2,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.35,2
231 SERANGOON AVE 3,Japanese Cemetery Park,1.49,1,NEX,0.64,4,Yangzheng Primary School,0.71,1,Serangoon Garden Market,0.92,5
2 HOLLAND AVE,One-north Park,1.17,1,The Star Vista,0.95,2,Fairfield Methodist School (Primary),1.7,1,Holland Village Market and Food Centre,0.24,7
108 JLN RAJAH,Toa Payoh Town Park,0.9,1,HDB Hub,0.77,5,Pei Chun Public School,0.93,2,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),0.58,11
2A UPP BOON KENG RD,Kallang Riverside Park,0.82,1,Aperia,0.92,4,Kong Hwa School,1.86,1,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),0.15,12
447 BRIGHT HILL DR,Bishan-Ang Mo Kio Park,0.91,2,Thomson Plaza,0.46,2,Ai Tong School,0.29,1,Shunfu Road Blk 320 (Shunfu Mart),0.89,6
788 WOODLANDS AVE 6,Admiralty Park,1.36,1,Admiralty Place,0.37,6,Admiralty Primary School,0.2,2,Kampung Admiralty Hawker Centre,0.39,1
317 SEMBAWANG VISTA,Yishun Park,1.76,2,Sun Plaza,0.27,3,Wellington Primary School,0.69,1,Bukit Canberra Hawker Centre,0.41,2
18B CIRCUIT RD,Kallang Riverside Park,3.29,0,Paya Lebar Square,1.24,2,Maha Bodhi School,1.45,1,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),0.19,7
204B PUNGGOL FIELD,Sengkang Sculpture Park,0.83,3,Rivervale Mall,0.73,6,Punggol Green Primary School,0.6,8,One Punggol Hawker Centre,1.07,3
298A COMPASSVALE ST,Sengkang Sculpture Park,0.56,3,Rivervale Mall,0.44,7,Punggol Green Primary School,0.8,8,One Punggol Hawker Centre,1.48,3
247 PASIR RIS ST 21,Pasir Ris Town Park,1.12,2,Downtown East,0.96,2,Pasir Ris Primary School,0.2,1,Pasir Ris Central Hawker Centre,1.26,1
450G TAMPINES ST 42,Tampines Eco Green,0.79,3,Tampines 1,0.94,8,Gongshang Primary School,0.44,4,Hawker Centre @ Our Tampines Hub,1.55,3
737 YISHUN ST 72,Sembawang Park,0.86,4,Northpoint City,0.45,5,Chongfu School,1.29,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.51,2
673 WOODLANDS DR 71,Admiralty Park,1.7,1,Admiralty Place,0.23,6,Admiralty Primary School,0.38,2,Kampung Admiralty Hawker Centre,0.11,1
147 SERANGOON NTH AVE 1,Japanese Cemetery Park,0.58,1,myVillage At Serangoon Garden,0.93,4,Xinmin Primary School,1.19,1,Chomp Chomp Food Centre,0.84,5
9B BOON TIONG RD,Tiong Bahru Park,0.48,4,Tiong Bahru Plaza,0.16,14,River Valley Primary School,1.13,2,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),0.15,17
117 SERANGOON NTH AVE 1,Japanese Cemetery Park,0.74,1,myVillage At Serangoon Garden,0.71,4,Xinmin Primary School,1.41,1,Chomp Chomp Food Centre,0.64,7
356C ADMIRALTY DR,Yishun Park,2.16,0,Sun Plaza,0.22,3,Wellington Primary School,0.58,2,Bukit Canberra Hawker Centre,0.52,1
445 SIN MING AVE,Bishan-Ang Mo Kio Park,0.88,2,Thomson Plaza,0.51,2,Ai Tong School,0.25,1,Shunfu Road Blk 320 (Shunfu Mart),0.95,6
632 HOUGANG AVE 8,Japanese Cemetery Park,0.71,2,Hougang Green Shopping Mall,1.26,8,Xinmin Primary School,0.29,2,Ci Yuan Hawker Centre,0.6,5
122A SENGKANG EAST WAY,Sengkang Sculpture Park,1.38,2,Rivervale Plaza,0.48,6,Horizon Primary School,1.65,3,Buangkok Hawker Centre,1.59,1
5A MARSILING DR,Marsiling Park,0.29,2,Marsiling Mall,0.89,4,Admiralty Primary School,2.78,0,Marsiling Lane Blk 20/21,0.48,2
312 JURONG EAST ST 32,Chinese Garden,0.52,2,Westgate,1.84,4,Princess Elizabeth Primary School,0.98,2,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),0.19,5
