flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
243 HOUGANG ST 22,Japanese Cemetery Park,1.85,1,Hougang 1,0.24,4,Holy Innocents’ Primary School,1.06,2,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.46,2
152 WOODLANDS ST 13,Marsiling Park,0.85,1,Marsiling Mall,0.65,3,Admiralty Primary School,2.99,0,Marsiling Mall Hawker Centre,0.64,2
459 YISHUN AVE 11,Yishun Pond Park,1.03,1,Wisteria Mall,0.66,3,Northland Primary School,0.6,2,Yishun Park Hawker Centre,0.47,1
191 PASIR RIS ST 12,Pasir Ris Town Park,0.92,3,Downtown East,1.15,3,Pasir Ris Primary School,0.84,3,Pasir Ris Central Hawker Centre,1.14,1
84A LOR 2 TOA PAYOH,Toa Payoh Town Park,0.54,2,HDB Hub,0.48,4,CHIJ Primary (Toa Payoh),0.64,2,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),0.4,8
288D JURONG EAST ST 21,Chinese Garden,1.29,2,IMM,0.62,4,Princess Elizabeth Primary School,1.11,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.81,3
25 SIN MING RD,Bishan-Ang Mo Kio Park,1.16,2,Thomson V,0.35,4,Ai Tong School,0.85,1,Shunfu Road Blk 320 (Shunfu Mart),0.34,5
164 STIRLING RD,Kent Ridge Park,1.63,4,Queensway Shopping Centre,0.44,4,Fairfield Methodist School (Primary),2.15,0,Mei Chin Road Blk 159 (Mei Chin Road Market),0.19,10
247 HOUGANG AVE 3,Japanese Cemetery Park,1.76,1,Hougang 1,0.34,4,Holy Innocents’ Primary School,0.91,2,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.61,2
546 CHOA CHU KANG ST 52,Choa Chu Kang Park,0.62,1,Limbang Shopping Centre,0.11,7,South View Primary School,1.3,1,Senja Hawker Centre,2.08,0
274B JURONG WEST ST 25,Jurong Central Park,1.71,1,Gek Poh Shopping Centre,0.77,4,Westwood Primary School,0.7,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.36,3
192 BT BATOK WEST AVE 6,Chinese Garden,1.39,3,West Mall,0.72,4,Princess Elizabeth Primary School,0.6,3,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.82,3
119 BEDOK RESERVOIR RD,Bedok Town Park,1.48,1,Singpost Centre,2.1,0,Maha Bodhi School,0.95,1,Bedok Reservoir Road Blk 630,0.56,3
109 YISHUN RING RD,Sembawang Park,0.85,4,Northpoint City,1.0,5,Chongfu School,1.34,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.15,3
666A YISHUN AVE 4,Yishun Pond Park,0.93,3,Wisteria Mall,0.21,3,Northland Primary School,0.2,2,Yishun Park Hawker Centre,0.82,2
113D MCNAIR RD,Kallang Riverside Park,1.72,2,City Square Mall,1.03,6,Pei Chun Public School,1.9,1,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.38,13
329 CLEMENTI AVE 2,West Coast Park,1.45,2,Grantral Mall,0.28,4,Fairfield Methodist School (Primary),2.44,0,Clementi Ave 3 Blk 448,0.32,5
117 BISHAN ST 12,Toa Payoh Town Park,1.84,2,Junction 8,0.39,3,Pei Chun Public School,1.28,2,Toa Payoh Lorong 8 Blk 210,0.89,9
350 WOODLANDS AVE 3,Marsiling Park,1.24,1,Marsiling Mall,0.27,5,Admiralty Primary School,2.2,0,Marsiling Mall Hawker Centre,0.28,2
407 HOUGANG AVE 10,Punggol Park,0.53,1,Hougang Mall,0.22,6,Holy Innocents’ Primary School,0.69,2,Buangkok Hawker Centre,1.1,3
531 SERANGOON NTH AVE 4,Japanese Cemetery Park,1.07,1,Buangkok Square,1.28,5,Xinmin Primary School,0.96,2,Ci Yuan Hawker Centre,0.88,4
325C SENGKANG EAST WAY,Sengkang Sculpture Park,0.63,3,Compass One,0.43,8,Springdale Primary School,0.22,5,Anchorvale Village Hawker Centre,0.52,3
685A JURONG WEST ST 64,Jurong Central Park,0.71,1,Jurong Point,0.46,4,Westwood Primary School,0.59,3,Jurong West Hawker Centre,0.78,3
69 BEDOK STH AVE 3,East Coast Park,2.09,0,Bedok Mall,1.74,2,Temasek Primary School,0.28,2,New Upper Changi Road Blk 58,0.6,7
540 CHOA CHU KANG ST 52,Choa Chu Kang Park,0.56,1,Limbang Shopping Centre,0.12,7,South View Primary School,1.27,1,Senja Hawker Centre,2.02,0
204A PUNGGOL FIELD,Sengkang Sculpture Park,0.81,3,Rivervale Mall,0.75,7,Punggol Green Primary School,0.56,8,One Punggol Hawker Centre,1.06,3
