flat,top_school,top_school_dist,num_top_school_2km
43 BEDOK STH RD,Temasek Primary School,0.6145603047187935,3
170 BEDOK STH RD,Temasek Primary School,0.33819520277868825,2
704 BEDOK RESERVOIR RD,Yu Neng Primary School,1.356617300972352,2
171 BEDOK STH RD,Temasek Primary School,0.35319311447958784,2
35 BEDOK STH AVE 2,Temasek Primary School,0.825685190057823,3
82 BEDOK NTH RD,Red Swastika School,0.8420094463951855,3
428 BEDOK NTH RD,Yu Neng Primary School,0.6939131545393054,2
104 BEDOK RESERVOIR RD,Maha Bodhi School,0.9636852118571679,1
120 BEDOK RESERVOIR RD,Maha Bodhi School,0.9962151775243087,1
611 BEDOK RESERVOIR RD,Maha Bodhi School,1.5686793543005204,2
545 BEDOK NTH ST 3,Yu Neng Primary School,0.9889800641358086,2
101 BEDOK RESERVOIR RD,Maha Bodhi School,0.9613974102384897,1
612 BEDOK RESERVOIR RD,Maha Bodhi School,1.6668257859964346,2
404 BEDOK NTH AVE 3,Red Swastika School,0.5194970773237081,3
601 BEDOK RESERVOIR RD,Maha Bodhi School,1.1620533004611149,1
763 BEDOK RESERVOIR VIEW,Red Swastika School,0.23006214567639824,3
647 JLN TENAGA,Maha Bodhi School,0.6069639582631379,1
766 BEDOK RESERVOIR VIEW,Red Swastika School,0.3058828599166578,3
772 BEDOK RESERVOIR VIEW,Red Swastika School,0.4788827881264944,3
660 JLN TENAGA,Maha Bodhi School,0.8920749656290733,1
137 BEDOK NTH AVE 3,Red Swastika School,0.5928934386454439,3
671 JLN DAMAI,Maha Bodhi School,0.9509586403534234,1
114 BEDOK RESERVOIR RD,Maha Bodhi School,0.9781252962127561,1
715 BEDOK RESERVOIR RD,Yu Neng Primary School,1.0743480679363482,2
53 CHAI CHEE ST,Yu Neng Primary School,1.4809884425818793,2
183 BEDOK NTH RD,Temasek Primary School,1.0512265918809611,3
111 LENGKONG TIGA,Maha Bodhi School,1.2156487766923898,1
145 BEDOK RESERVOIR RD,Maha Bodhi School,1.366935553163746,1
717 BEDOK RESERVOIR RD,Yu Neng Primary School,0.8480996122557163,2
666 JLN DAMAI,Maha Bodhi School,0.9437584708936135,1
116 LENGKONG TIGA,Maha Bodhi School,1.3332291397512221,1
629 BEDOK RESERVOIR RD,Maha Bodhi School,1.6353315053178743,2
96 BEDOK NTH AVE 4,Red Swastika School,0.6753663765349407,4
99 BEDOK NTH AVE 4,Red Swastika School,0.5736153444246577,4
505 BEDOK NTH AVE 3,Yu Neng Primary School,0.26376366451273475,2
102 LENGKONG TIGA,Maha Bodhi School,1.0895119457125455,1
72 BEDOK STH AVE 3,Temasek Primary School,0.3637160831151825,3
719 BEDOK RESERVOIR RD,Yu Neng Primary School,0.8605326284488363,2
220B BEDOK CTRL,Red Swastika School,0.9486822367086897,3
110 LENGKONG TIGA,Maha Bodhi School,1.1644934267322602,1
160 BEDOK STH AVE 3,Temasek Primary School,0.17706872806572388,1
103 LENGKONG TIGA,Maha Bodhi School,1.0746585030849165,1
10E BEDOK STH AVE 2,Temasek Primary School,1.045271019256127,3
115 BEDOK NTH RD,Red Swastika School,0.4056085194805972,3
403 SIN MING AVE,Ai Tong School,0.2610826714379029,1
150A BISHAN ST 11,Pei Chun Public School,0.8615326572629871,2
115 BISHAN ST 12,Pei Chun Public School,1.4336437902669648,2
116 BISHAN ST 12,Pei Chun Public School,1.3910478911995852,2
111 BISHAN ST 12,Pei Chun Public School,1.396538013566541,2
153 BISHAN ST 13,Pei Chun Public School,1.0295714402808878,2
455 SIN MING AVE,Ai Tong School,0.3347904576957591,1
445 SIN MING AVE,Ai Tong School,0.25255698495505663,1
239 BISHAN ST 22,Ai Tong School,1.3092443691493905,1
