flat,station_name,station_dist,num_station_2km
404 BEDOK NTH AVE 3,Bedok North,0.8433653262287149,5
601 BEDOK RESERVOIR RD,Kembangan,1.1573648145119055,7
763 BEDOK RESERVOIR VIEW,Tampines West,1.1186587353447452,6
647 JLN TENAGA,Kaki Bukit,0.5182832501173181,6
766 BEDOK RESERVOIR VIEW,Tampines West,1.0794341200500064,6
772 BEDOK RESERVOIR VIEW,Tampines West,1.002817904748851,6
660 JLN TENAGA,Kaki Bukit,0.5306086624045988,6
137 BEDOK NTH AVE 3,Bedok,0.9732984319665613,6
671 JLN DAMAI,Kaki Bukit,0.8008350213755302,5
114 BEDOK RESERVOIR RD,Kaki Bukit,0.9785473077875515,6
715 BEDOK RESERVOIR RD,Bedok Reservoir,0.3147583721618163,4
53 CHAI CHEE ST,Bedok North,0.7993602371625745,4
183 BEDOK NTH RD,Tanah Merah,0.5874411882371776,4
111 LENGKONG TIGA,Kembangan,0.5026794646584005,8
145 BEDOK RESERVOIR RD,Bedok Reservoir,0.9618005564402894,4
717 BEDOK RESERVOIR RD,Bedok Reservoir,0.5631969006247335,4
666 JLN DAMAI,Kaki Bukit,0.6899904468757657,5
116 LENGKONG TIGA,Kembangan,0.3529658765483159,8
629 BEDOK RESERVOIR RD,Bedok Reservoir,0.6763169432115136,5
96 BEDOK NTH AVE 4,Tanah Merah,0.7635758033212824,5
99 BEDOK NTH AVE 4,Tanah Merah,0.8844341135796463,5
505 BEDOK NTH AVE 3,Bedok North,0.9261152342855453,5
102 LENGKONG TIGA,Kembangan,0.6832709118124038,8
72 BEDOK STH AVE 3,Tanah Merah,1.0523226923617646,3
719 BEDOK RESERVOIR RD,Bedok Reservoir,0.47970738431232496,4
220B BEDOK CTRL,Bedok,0.7258047827293346,4
110 LENGKONG TIGA,Kembangan,0.5021643090561952,8
160 BEDOK STH AVE 3,Tanah Merah,1.143206108448937,1
103 LENGKONG TIGA,Kembangan,0.7144454947438977,8
10E BEDOK STH AVE 2,Bedok,1.0656726766701232,3
115 BEDOK NTH RD,Tanah Merah,1.0509785414169663,6
403 SIN MING AVE,Bishan,0.39319191096089473,5
150A BISHAN ST 11,Marymount,0.47989121850991956,6
115 BISHAN ST 12,Marymount,1.241143936270975,5
116 BISHAN ST 12,Marymount,1.1859943370665185,4
111 BISHAN ST 12,Marymount,1.2411684468182211,5
153 BISHAN ST 13,Marymount,0.6632396796683112,6
455 SIN MING AVE,Bright Hill,0.2497364636782803,4
445 SIN MING AVE,Bright Hill,0.15401937647747715,4
239 BISHAN ST 22,Ang Mo Kio,1.049359205075271,4
233 BISHAN ST 22,Ang Mo Kio,1.2344525606196377,4
171 BISHAN ST 13,Marymount,0.7956589213929067,5
285 BISHAN ST 22,Bishan,1.0940526556882602,4
140 BISHAN ST 12,Marymount,0.655316709506491,5
267 BISHAN ST 24,Bishan,1.1045740802460187,4
224 BISHAN ST 23,Ang Mo Kio,1.1846702683817179,5
223 BISHAN ST 23,Ang Mo Kio,1.2453091018717255,5
236 BISHAN ST 22,Ang Mo Kio,1.1761516168788666,5
157 BISHAN ST 13,Marymount,0.6239259468705828,6
290 BISHAN ST 24,Bright Hill,1.3773034740682415,4
237 BISHAN ST 22,Ang Mo Kio,1.1302493909467946,5
304 SHUNFU RD,Bright Hill,1.0218617871228697,3
254 BISHAN ST 22,Bishan,0.827686238452571,5
313 SHUNFU RD,Bright Hill,0.8509555529151438,3
113 BISHAN ST 12,Marymount,1.1867508184794529,5
141 BISHAN ST 12,Marymount,0.6645589684131344,5
289 BISHAN ST 24,Bishan,1.344722271134206,4
144 BISHAN ST 12,Marymount,0.7377967911976177,5
155 BISHAN ST 13,Marymount,0.6539206597394743,6
156 BISHAN ST 13,Marymount,0.5439066873743934,6
142 BISHAN ST 12,Marymount,0.6902211165538833,5
245 BISHAN ST 22,Bishan,1.0066453357940046,4
103 BISHAN ST 12,Marymount,1.1236365131574664,5
263 BISHAN ST 22,Bishan,0.9856628768467852,4
124 BISHAN ST 12,Marymount,0.9280926422812096,4
102 BISHAN ST 12,Marymount,1.1356109919999209,5
179 BISHAN ST 13,Marymount,1.0745946902444496,4
291 BISHAN ST 24,Bright Hill,1.409324973731068,5
257 BISHAN ST 22,Bishan,0.9680826847750977,4
244 BISHAN ST 22,Bishan,1.0414298727791236,4
301 SHUNFU RD,Bright Hill,1.115639783353724,3
212 BISHAN ST 23,Ang Mo Kio,1.4839501911805102,4
137 BISHAN ST 12,Marymount,0.7347716103104541,4
507 BT BATOK ST 52,Hillview,0.9633524265228219,2
413 BT BATOK WEST AVE 4,Keat Hong,1.2838665295955287,5
422 BT BATOK WEST AVE 2,Keat Hong,1.4020810473956165,4
374 BT BATOK ST 31,Hillview,1.1679138313162354,3
416 BT BATOK WEST AVE 4,Keat Hong,1.297274661355626,4
501 BT BATOK ST 52,Hillview,0.9233736776599166,2
342 BT BATOK ST 34,Keat Hong,1.4714716990462513,5
272 BT BATOK EAST AVE 4,Hillview,0.98129404048469,2
367 BT BATOK ST 31,Hillview,1.3265791328503829,4
347 BT BATOK ST 34,Hillview,1.249422782407561,5
312 BT BATOK ST 32,Bukit Batok,1.5340607549269116,4
175 BT BATOK WEST AVE 8,Bukit Batok,0.6087696893723951,5
421 BT BATOK WEST AVE 2,Keat Hong,1.3462310428029098,4
245 BT BATOK EAST AVE 5,Hillview,0.9258314438689378,2
504 BT BATOK ST 52,Hillview,0.8905170466391017,2
239 BT BATOK EAST AVE 5,Bukit Batok,1.010782868875433,2
533 BT BATOK ST 51,Bukit Batok,1.1335451256284714,3
148 BT BATOK WEST AVE 6,Bukit Batok,0.5070325331733588,4
250 BT BATOK EAST AVE 5,Hillview,0.8064608524159312,2
241 BT BATOK EAST AVE 5,Bukit Batok,0.9938308597531006,2
177 BT BATOK WEST AVE 8,Bukit Batok,0.6150592640781659,5
258 BT BATOK EAST AVE 4,Hillview,0.6908380203227567,3
345 BT BATOK ST 34,Bukit Gombak,1.2763935790130576,5
263 BT BATOK EAST AVE 4,Hillview,0.7853091956851915,2
217 BT BATOK ST 21,Bukit Batok,0.8582478690752045,2
340 BT BATOK ST 34,Bukit Gombak,1.383325492987653,5
235 BT BATOK EAST AVE 5,Bukit Batok,1.0652645871734367,2
139 BT BATOK WEST AVE 6,Bukit Batok,0.6481571817503731,4
534 BT BATOK ST 51,Bukit Batok,1.1567309742392542,3
230 BT BATOK EAST AVE 3,Bukit Batok,0.9041243720980354,2
219 BT BATOK ST 21,Bukit Batok,0.8946257039765144,2
212 BT BATOK ST 21,Bukit Batok,0.5898247338719305,4
343 BT BATOK ST 34,Hillview,1.4585139126602082,5
540 BT BATOK ST 52,Bukit Batok,1.0423857779967078,3
537 BT BATOK ST 52,Bukit Batok,1.0934103720088857,3
213 BT BATOK ST 21,Bukit Batok,0.6127910429425288,4
513 BT BATOK ST 52,Hillview,1.0396129013886306,3
348 BT BATOK ST 34,Hillview,1.3001594901283693,5
310 BT BATOK ST 32,Hillview,1.4017614961187206,4
331 BT BATOK ST 33,Keat Hong,1.3239685076721461,6
408 BT BATOK WEST AVE 4,Keat Hong,1.0986410394172188,4
370 BT BATOK ST 31,Hillview,1.296088325939932,4
329 BT BATOK ST 33,Keat Hong,1.362736966699497,5
337 BT BATOK ST 34,Bukit Gombak,1.3799313849736383,5
369 BT BATOK ST 31,Hillview,1.1696158389229205,4
182 BT BATOK WEST AVE 8,Bukit Batok,0.3626056513217239,5
308 BT BATOK ST 31,Bukit Batok,1.3917970085736902,4
234 BT BATOK EAST AVE 5,Bukit Batok,0.9945385473364239,2
368 BT BATOK ST 31,Hillview,1.2132863432056218,4
242 BT BATOK EAST AVE 5,Hillview,0.8713232745476246,2
165 BT BATOK WEST AVE 8,Bukit Batok,0.5890066706533218,5
288D BT BATOK ST 25,Hillview,1.2648094269781072,3
260 BT BATOK EAST AVE 4,Hillview,0.7224667929050471,2
316 BT BATOK ST 32,Keat Hong,1.605708071667937,4
350 BT BATOK ST 34,Hillview,1.4210977084147363,4
341 BT BATOK ST 34,Bukit Gombak,1.4388650131193481,5
244 BT BATOK EAST AVE 5,Hillview,0.9764165509172156,2
363 BT BATOK ST 31,Hillview,1.3747223663292034,4
227 BT BATOK CTRL,Bukit Batok,0.7665248651975758,2
233 BT BATOK EAST AVE 5,Bukit Batok,0.951408914032308,2
539 BT BATOK ST 52,Bukit Batok,1.0581984510355058,3
169 BT BATOK WEST AVE 8,Bukit Batok,0.6865674389386996,5
247 BT BATOK EAST AVE 5,Hillview,0.9178227823442385,2
289F BT BATOK ST 25,Bukit Batok,1.3437385213155408,3
514 BT BATOK ST 52,Hillview,0.9971331324267751,3
257 BT BATOK EAST AVE 4,Hillview,0.7430693889057914,2
193 BT BATOK WEST AVE 6,Bukit Batok,0.29225799294616833,5
325 BT BATOK ST 33,Keat Hong,1.4165720074221881,4
290F BT BATOK ST 24,Bukit Batok,1.2164823408727232,3
301 BT BATOK ST 31,Bukit Batok,1.2063620513095785,3
395 BT BATOK WEST AVE 5,Bukit Gombak,0.9584546665169136,6
426 BT BATOK WEST AVE 2,Keat Hong,1.4362740862009094,4
392 BT BATOK WEST AVE 5,Bukit Gombak,0.8709436771478686,8
386 BT BATOK WEST AVE 5,Bukit Gombak,1.0509030582169816,5
