flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
860 JURONG WEST ST 81,Jurong Central Park,1.72,1,Gek Poh Shopping Centre,0.11,4,Westwood Primary School,0.46,2,Jurong West Hawker Centre,0.84,2,Boon Lay,1.53,2,Gek Poh,0.22,7,5
523 JURONG WEST ST 52,Jurong Central Park,1.32,3,Boon Lay Shopping Centre,0.42,3,Rulang Primary School,0.26,2,Jurong West Street 52 Blk 505,0.41,4,Boon Lay,0.65,2,Hong Kah,0.48,6,4
628 JURONG WEST ST 65,Jurong Central Park,1.05,1,Pioneer Mall,0.25,4,Westwood Primary School,0.56,2,Jurong West Hawker Centre,0.25,2,Pioneer,1.07,2,Jurong West,0.67,6,4
626 JURONG WEST ST 65,Jurong Central Park,1.13,1,Pioneer Mall,0.14,4,Frontier Primary School,0.59,2,Jurong West Hawker Centre,0.14,2,Pioneer,1.01,2,Gek Poh,0.76,6,4
830 JURONG WEST ST 81,Jurong Central Park,1.8,1,Pioneer Mall,0.59,3,Westwood Primary School,0.82,2,Jurong West Hawker Centre,0.63,1,Pioneer,1.47,2,Tawas,0.65,7,5
656D JURONG WEST ST 61,Jurong Central Park,0.95,1,Pioneer Mall,0.74,4,Frontier Primary School,0.13,2,Jurong West Hawker Centre,0.69,2,Pioneer,0.4,2,Enterprise,0.38,7,5
606 JURONG WEST ST 65,Jurong Central Park,0.96,1,Pioneer Mall,0.47,4,Frontier Primary School,0.15,2,Jurong West Hawker Centre,0.42,2,Pioneer,0.61,2,Enterprise,0.59,6,4
695 JURONG WEST CTRL 1,Jurong Central Park,0.5,1,Jurong Point,0.32,5,Westwood Primary School,0.92,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.67,4,Boon Lay,0.59,2,Jurong West,0.22,7,5
532 JURONG WEST ST 52,Jurong Central Park,1.52,2,Boon Lay Shopping Centre,0.51,3,Rulang Primary School,0.38,2,Jurong West Street 52 Blk 505,0.28,4,Boon Lay,0.67,1,Hong Kah,0.3,5,4
669B JURONG WEST ST 64,Jurong Central Park,0.77,1,Jurong Point,0.53,4,Westwood Primary School,0.54,3,Jurong West Hawker Centre,0.63,3,Boon Lay,0.96,2,Jurong West,0.3,7,5
666A JURONG WEST ST 65,Jurong Central Park,0.75,1,Pioneer Mall,0.51,4,Frontier Primary School,0.39,2,Jurong West Hawker Centre,0.47,2,Pioneer,0.89,2,Jurong West,0.55,6,4
469 JURONG WEST ST 41,Japanese Garden,1.37,3,Boon Lay Shopping Centre,1.01,3,Rulang Primary School,0.37,1,Jurong West Street 52 Blk 505,0.34,5,Boon Lay,1.22,4,Hong Kah,0.39,8,4
471 JURONG WEST ST 41,Japanese Garden,1.31,3,Boon Lay Shopping Centre,1.11,3,Rulang Primary School,0.46,1,Jurong West Street 52 Blk 505,0.43,5,Boon Lay,1.32,4,Hong Kah,0.48,8,4
517D JURONG WEST ST 52,Japanese Garden,1.26,3,Boon Lay Shopping Centre,0.8,3,Rulang Primary School,0.23,1,Jurong West Street 52 Blk 505,0.53,4,Boon Lay,1.04,4,Hong Kah,0.63,7,3
6 BEACH RD,Kallang Riverside Park,0.56,3,Aperia,0.72,17,Anglo-Chinese School (Junior),2.61,0,Golden Mile Food Centre,0.14,7,Nicoll Highway,0.25,17,Nicoll Highway,0.25,19,2
34 JLN BAHAGIA,Toa Payoh Town Park,1.16,1,HDB Hub,1.04,6,Pei Chun Public School,1.12,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.53,11,Riviera,0.65,12,Riviera,0.65,13,1
33 JLN BAHAGIA,Toa Payoh Town Park,1.25,1,The Poiz,1.1,6,Pei Chun Public School,1.18,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.55,12,Riviera,0.58,12,Riviera,0.58,13,1
3 ST. GEORGE'S RD,Toa Payoh Town Park,1.71,2,The Poiz,1.19,5,Pei Chun Public School,1.7,1,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.43,11,Riviera,0.67,12,Riviera,0.67,12,0
73 GEYLANG BAHRU,Kallang Riverside Park,1.72,1,The Poiz,1.06,2,Pei Chun Public School,2.31,0,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.15,11,Kallang,0.26,10,Kallang,0.26,11,1
65 KALLANG BAHRU,Kallang Riverside Park,1.38,1,Aperia,1.11,4,Pei Chun Public School,2.38,0,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.27,10,Geylang Bahru,0.54,12,Geylang Bahru,0.54,11,0
82 WHAMPOA DR,Toa Payoh Town Park,1.21,1,HDB Hub,1.16,6,Pei Chun Public School,1.43,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.18,12,Riviera,0.91,13,Riviera,0.91,14,1
93 GEYLANG BAHRU,Kallang Riverside Park,1.69,1,The Poiz,1.16,2,Kong Hwa School,2.24,0,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.2,11,Kallang,0.14,9,Kallang,0.14,10,1
11 UPP BOON KENG RD,Kallang Riverside Park,0.83,1,Aperia,0.84,5,Kong Hwa School,1.97,1,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),0.12,12,Boon Keng,0.1,13,Boon Keng,0.73,14,1
47 BENDEMEER RD,Kallang Riverside Park,1.8,1,The Poiz,0.9,3,Pei Chun Public School,1.95,1,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.41,9,Riviera,0.65,12,Riviera,0.65,11,0
108 MCNAIR RD,Toa Payoh Town Park,1.61,2,City Square Mall,1.18,7,Pei Chun Public School,1.74,1,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.48,12,Bendemeer,0.74,14,Bendemeer,0.78,14,0
1 BEACH RD,War Memorial Park,0.26,10,Raffles City,0.14,28,River Valley Primary School,2.01,0,Queen Street Blk 270 (Albert Centre),0.65,12,Bras Basah,0.28,25,Bras Basah,0.28,26,1
468 NTH BRIDGE RD,Kallang Riverside Park,0.6,3,Aperia,0.57,17,Anglo-Chinese School (Junior),2.45,0,North Bridge Road Market,0.09,9,Lavender,0.28,18,Lavender,0.24,19,1
107 TOWNER RD,Kallang Riverside Park,1.61,2,City Square Mall,0.97,7,Pei Chun Public School,2.0,0,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.31,12,Bendemeer,0.48,14,Bendemeer,0.51,14,0
94 WHAMPOA DR,Toa Payoh Town Park,1.29,1,City Square Mall,1.17,7,Pei Chun Public School,1.64,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.13,12,Bendemeer,0.99,15,Bendemeer,1.02,15,0
467 NTH BRIDGE RD,Kallang Riverside Park,0.64,4,Aperia,0.6,17,Anglo-Chinese School (Junior),2.42,0,North Bridge Road Market,0.12,9,Lavender,0.27,19,Lavender,0.25,21,2
96 GEYLANG BAHRU,Kallang Riverside Park,1.8,1,The Poiz,0.98,2,Pei Chun Public School,2.24,0,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.22,12,Kallang,0.31,9,Kallang,0.31,9,0
112 LOR 3 GEYLANG,Kallang Riverside Park,0.81,1,Kallang Wave Mall,1.0,4,Kong Hwa School,1.63,1,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),0.4,12,Boon Keng,0.32,10,Mountbatten,0.88,11,1
96 WHAMPOA DR,Toa Payoh Town Park,1.32,1,City Square Mall,1.13,7,Pei Chun Public School,1.68,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.16,13,Bendemeer,0.96,15,Bendemeer,1.0,15,0
683 TESSENSOHN RD,Kallang Riverside Park,1.59,2,City Square Mall,0.34,11,Anglo-Chinese School (Junior),1.71,1,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.67,12,Farrer Park,0.33,16,Serangoon,0.39,17,1
69 MOULMEIN RD,Toa Payoh Town Park,1.32,1,Velocity@Novena Square,0.73,7,Anglo-Chinese School (Junior),1.46,2,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.31,10,Farrer Road,0.76,10,Farrer Park,0.76,12,2
4 BOON KENG RD,Kallang Riverside Park,1.33,1,City Square Mall,0.6,10,Anglo-Chinese School (Junior),2.15,0,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.53,11,Bendemeer,0.21,13,Bendemeer,0.24,14,1
