flat,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
607 YISHUN ST 61,Khatib,0.7158849444355389,3,Khatib,0.7158849444355389,3,0
666 YISHUN AVE 4,Khatib,0.7251328679687384,2,Khatib,0.7251328679687384,2,0
181 ANG MO KIO AVE 5,Mayflower,0.5234157057124894,6,Mayflower,0.5234157057124894,8,2
457 ANG MO KIO AVE 10,Ang Mo Kio,1.3899174756739583,2,Tavistock,0.8817521927726064,5,3
222 ANG MO KIO AVE 1,Bishan,0.3535428942027841,6,Bishan,0.3535428942027841,7,1
514 BEDOK NTH AVE 2,Bedok North,0.67039348304237,5,Bedok North,0.5942896846164387,6,1
38 BEDOK STH RD,Tanah Merah,1.2496078245220856,3,Bedok South,0.8051633608627655,5,2
610 BEDOK RESERVOIR RD,Bedok Reservoir,1.1090831614505072,7,Bedok Reservoir,1.1090831614505072,6,0
60 CHAI CHEE RD,Bedok North,0.6669559769561121,5,Bedok,0.741441537281596,6,1
30 NEW UPP CHANGI RD,Bedok,0.954571247225902,3,Bedok North,0.7401712785365622,5,2
703 BEDOK RESERVOIR RD,Bedok Reservoir,0.1107469507627419,3,Bedok Reservoir,0.1107469507627419,3,0
205 BEDOK NTH ST 1,Bedok,0.3603996854818453,4,Bedok North,0.1471257679012682,6,2
220A BEDOK CTRL,Bedok,0.757591202964907,4,Bedok North,0.446795332347503,6,2
112 BEDOK RESERVOIR RD,Kaki Bukit,1.0875492667979585,6,Kaki Bukit,1.0875492667979585,5,0
1 CHAI CHEE RD,Bedok North,0.4920664166218127,4,Bedok,0.6933163395735212,5,1
506 BEDOK NTH AVE 3,Bedok North,0.9810318190500036,5,Bedok North,0.6251024723303268,6,1
415 BEDOK NTH AVE 2,Bedok North,0.5094118698703617,5,Bedok North,0.2743003852744124,6,1
641 BEDOK RESERVOIR RD,Kaki Bukit,0.4747840418140595,6,Kaki Bukit,0.4747840418140595,6,0
162 BEDOK STH RD,Tanah Merah,1.092824143699587,1,Bayshore,0.835792251115429,5,4
10C BEDOK STH AVE 2,Bedok,0.9633442492589648,3,Bedok South,0.707957212475565,5,2
716 BEDOK RESERVOIR RD,Bedok Reservoir,0.5206448582576917,4,Bedok Reservoir,0.5206448582576917,4,0
