flat,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards
132 BEDOK RESERVOIR RD,Bedok Reservoir,1.047531673139411,4
613 BEDOK RESERVOIR RD,Bedok Reservoir,0.6312395804407636,5
532 BEDOK NTH ST 3,Bedok Reservoir,0.5933733399110249,4
61 CHAI CHEE RD,Bedok,0.7999883278597719,6
619 BEDOK RESERVOIR RD,Bedok Reservoir,0.4512874757694888,5
201 BEDOK NTH ST 1,Bedok,0.18027590928925813,5
43 CHAI CHEE ST,Bedok,0.4940934443513753,5
508 BEDOK NTH AVE 3,Bedok North,0.7030984837034251,6
43 BEDOK STH RD,Bayshore,0.9342992332405327,6
170 BEDOK STH RD,Bayshore,0.9407001996136524,6
704 BEDOK RESERVOIR RD,Bedok Reservoir,0.03567712240241137,3
171 BEDOK STH RD,Bayshore,0.9271483776060528,7
35 BEDOK STH AVE 2,Bedok South,0.9772488258900947,6
82 BEDOK NTH RD,Tanah Merah,0.6361989273796909,7
428 BEDOK NTH RD,Bedok North,0.4412051068998349,4
104 BEDOK RESERVOIR RD,Kaki Bukit,1.0595669067009723,5
120 BEDOK RESERVOIR RD,Kaki Bukit,0.9709826993201417,5
611 BEDOK RESERVOIR RD,Bedok Reservoir,0.8416984939433574,6
545 BEDOK NTH ST 3,Bedok,0.7450399567897257,5
101 BEDOK RESERVOIR RD,Kembangan,1.0105146756812367,5
612 BEDOK RESERVOIR RD,Bedok Reservoir,0.7307350629856445,5
404 BEDOK NTH AVE 3,Bedok North,0.41049718971237,6
601 BEDOK RESERVOIR RD,Kembangan,1.1573648145119055,6
763 BEDOK RESERVOIR VIEW,Bedok North,1.0686956530482297,6
647 JLN TENAGA,Kaki Bukit,0.5182832501173181,6
766 BEDOK RESERVOIR VIEW,Tampines West,1.0794341200500064,6
772 BEDOK RESERVOIR VIEW,Tampines West,1.002817904748851,6
660 JLN TENAGA,Kaki Bukit,0.5306086624045988,6
137 BEDOK NTH AVE 3,Bedok North,0.5418740447963898,8
671 JLN DAMAI,Kaki Bukit,0.8008350213755302,5
114 BEDOK RESERVOIR RD,Kaki Bukit,0.9785473077875515,5
715 BEDOK RESERVOIR RD,Bedok Reservoir,0.3147583721618163,4
53 CHAI CHEE ST,Bedok Reservoir,0.8785372310597982,5
183 BEDOK NTH RD,Tanah Merah,0.5874411882371776,7
111 LENGKONG TIGA,Kembangan,0.5026794646584005,7
145 BEDOK RESERVOIR RD,Bedok Reservoir,0.9618005564402894,3
717 BEDOK RESERVOIR RD,Bedok Reservoir,0.5631969006247335,4
666 JLN DAMAI,Kaki Bukit,0.6899904468757657,5
116 LENGKONG TIGA,Kembangan,0.3529658765483159,8
629 BEDOK RESERVOIR RD,Bedok Reservoir,0.6763169432115136,5
96 BEDOK NTH AVE 4,Tanah Merah,0.7635758033212824,5
99 BEDOK NTH AVE 4,Tanah Merah,0.8844341135796463,5
505 BEDOK NTH AVE 3,Bedok North,0.574013965745183,6
102 LENGKONG TIGA,Kembangan,0.6832709118124038,7
72 BEDOK STH AVE 3,Bayshore,0.8151887738394656,6
719 BEDOK RESERVOIR RD,Bedok Reservoir,0.47970738431232496,4
220B BEDOK CTRL,Bedok North,0.43117860330974145,6
110 LENGKONG TIGA,Kembangan,0.5021643090561952,7
160 BEDOK STH AVE 3,Bayshore,0.7512275609476601,5
103 LENGKONG TIGA,Kembangan,0.7144454947438977,7
