,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
1215,BARTLEY BEACON,223C,MOUNT VERNON ROAD,BARTLEY BEACON,223C MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 363223,363223,33041.112050009,35903.2036772538,1.34096992139722,103.878615976821,103.878615976821,Bartley
1216,BARTLEY BEACON,224C,MOUNT VERNON ROAD,BARTLEY BEACON,224C MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 363224,363224,33181.6029849229,36009.6349581312,1.34193242397163,103.879878389559,103.879878389559,Bartley
1217,BARTLEY BEACON,224A,MOUNT VERNON ROAD,BARTLEY BEACON,224A MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 361224,361224,33085.1228485173,35938.7747630589,1.34129160617374,103.879011445969,103.879011445969,Bartley
1218,BARTLEY BEACON,,NIL,BARTLEY BEACON,BARTLEY BEACON,NIL,33144.6219559014,35936.1804336384,1.34126813388679,103.879546080442,103.879546080442,Bartley
1219,BARTLEY BEACON,221,MOUNT VERNON ROAD,BARTLEY BEACON,221 MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 360221,360221,33259.4205484651,35987.1302582175,1.34172888603572,103.880577622977,103.880577622977,Bartley
1220,BARTLEY BEACON,225,MOUNT VERNON ROAD,BARTLEY BEACON,225 MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 360225,360225,32954.4662841922,35857.0943086296,1.34055293912883,103.877837405576,103.877837405576,Bartley
1221,RANGGUNG LRT STATION (SE5),30,SENGKANG EAST AVENUE,RANGGUNG LRT STATION (SE5),30 SENGKANG EAST AVENUE RANGGUNG LRT STATION (SE5) SINGAPORE 545046,545046,35108.5940098073,40687.1253354792,1.38423355918277,103.897194667804,103.897194667804,Ranggung
1222,BAYFRONT AVENUE TOWARDS MARINA BOULEVARD - ERP(69),,NIL,BAYFRONT AVENUE TOWARDS MARINA BOULEVARD - ERP(69),BAYFRONT AVENUE TOWARDS MARINA BOULEVARD - ERP(69),NIL,31066.3721608948,29755.2538799457,1.28537030528984,103.860871154701,103.860871154701,Bayfront
1223,BAYFRONT AVENUE TOWARDS RAFFLES AVENUE - ERP(66),,NIL,BAYFRONT AVENUE TOWARDS RAFFLES AVENUE - ERP(66),BAYFRONT AVENUE TOWARDS RAFFLES AVENUE - ERP(66),NIL,31047.8886534227,29755.6212727316,1.28537362965764,103.860705073072,103.860705073072,Bayfront
1224,BAYFRONT BRIDGE,,NIL,BAYFRONT BRIDGE,BAYFRONT BRIDGE,NIL,31083.6925605573,29986.2282280643,1.28745915428288,103.8610268079,103.8610268079,Bayfront
