,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
367,DBS WOODLANDS MART,768,WOODLANDS AVENUE 6,DBS WOODLANDS MART,768 WOODLANDS AVENUE 6 DBS WOODLANDS MART SINGAPORE 730768,730768,24087.6564999428,47477.9444967583,1.44564787003157,103.798162285805,103.798162285805,Woodlands Mart
368,OCBC WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,OCBC WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 OCBC WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23286.7157086106,47169.1898147166,1.44285548185504,103.790965090129,103.790965090129,Woodlands North Plaza
369,DBS WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,DBS WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 DBS WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23265.0904146964,47167.0272883531,1.44283592110679,103.790770766025,103.790770766025,Woodlands North Plaza
370,UOB WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,UOB WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 UOB WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23280.9489010125,47168.829413835,1.44285222154947,103.790913269769,103.790913269769,Woodlands North Plaza
371,WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23240.3015716588,47157.8967089206,1.44275334327795,103.790548015512,103.790548015512,Woodlands North Plaza
372,BUANGKOK SQUARE,991,BUANGKOK LINK,BUANGKOK SQUARE,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991,530991,33375.6730938945,40698.2200346421,1.38433426615655,103.881623070164,103.881623070164,Buangkok Square
373,BUANGKOK SQUARE,992,BUANGKOK LINK,BUANGKOK SQUARE,992 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530992,530992,33413.858940009,40578.733930245,1.38325366996252,103.881966176802,103.881966176802,Buangkok Square
374,BUANGKOK SQUARE,991A,BUANGKOK LINK,BUANGKOK SQUARE,991A BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 531991,531991,33442.749427787,40695.2956933957,1.38430780704299,103.882225801104,103.882225801104,Buangkok Square
375,BUANGKOK SQUARE,992A,BUANGKOK LINK,BUANGKOK SQUARE,992A BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 531992,531992,33415.6997479741,40600.5129855163,1.38345063152545,103.881982721855,103.881982721855,Buangkok Square
376,BUANGKOK SQUARE,991B,BUANGKOK LINK,BUANGKOK SQUARE,991B BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 532991,532991,33471.7431293903,40659.5768998303,1.38398477376889,103.882486324738,103.882486324738,Buangkok Square
377,BUANGKOK SQUARE,992B,BUANGKOK LINK,BUANGKOK SQUARE,992B BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 532992,532992,33381.1722417129,40642.0994093325,1.3838267304931,103.881672473881,103.881672473881,Buangkok Square
378,BUANGKOK SQUARE,991C,BUANGKOK LINK,BUANGKOK SQUARE,991C BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 535991,535991,33478.5485525811,40635.9294624589,1.38377091361914,103.882547472184,103.882547472184,Buangkok Square
379,BUANGKOK SQUARE,991D,BUANGKOK LINK,BUANGKOK SQUARE,991D BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 536991,536991,33445.3407606771,40726.2086878456,1.38458737250468,103.882249091915,103.882249091915,Buangkok Square
380,BUANGKOK SQUARE,,NIL,BUANGKOK SQUARE,BUANGKOK SQUARE,NIL,33418.3797357883,40664.4306434318,1.3840286792222,103.882006815341,103.882006815341,Buangkok Square
381,COMPASS ONE,1,SENGKANG SQUARE,COMPASS ONE,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,545078,34872.1834410084,41551.7693360616,1.39205314156706,103.89507054384,103.89507054384,Compass One
382,OCBC COMPASS ONE BRANCH,1,SENGKANG SQUARE,OCBC COMPASS ONE BRANCH,1 SENGKANG SQUARE OCBC COMPASS ONE BRANCH SINGAPORE 545078,545078,34871.4422991592,41551.8980052602,1.3920543053799,103.895063884132,103.895063884132,Compass One
383,GREENWICH V,1,SELETAR ROAD,GREENWICH V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,807011,31986.0138748605,41036.6794434916,1.38739539397015,103.869135978173,103.869135978173,Greenwich V
384,OCBC GREENWICH V,1,SELETAR ROAD,OCBC GREENWICH V,1 SELETAR ROAD OCBC GREENWICH V SINGAPORE 807011,807011,32009.614699536,41033.6169894356,1.38736769500018,103.869348049282,103.869348049282,Greenwich V
385,CITIBANK HEARTLAND MALL,205,HOUGANG STREET 21,CITIBANK HEARTLAND MALL,205 HOUGANG STREET 21 CITIBANK HEARTLAND MALL SINGAPORE 530205,530205,33770.1681960914,37956.7995033581,1.35954177325561,103.885167372726,103.885167372726,Heartland Mall
386,UOB HEARTLAND MALL,205,HOUGANG STREET 21,UOB HEARTLAND MALL,205 HOUGANG STREET 21 UOB HEARTLAND MALL SINGAPORE 530205,530205,33770.3570985775,37957.1020015869,1.35954450890401,103.885169070198,103.885169070198,Heartland Mall
387,OCBC HEARTLAND MALL,205,HOUGANG STREET 21,OCBC HEARTLAND MALL,205 HOUGANG STREET 21 OCBC HEARTLAND MALL SINGAPORE 530205,530205,33770.3570985775,37957.1020015869,1.35954450890401,103.885169070198,103.885169070198,Heartland Mall
388,DBS HEARTLAND MALL BRANCH,205,HOUGANG STREET 21,DBS HEARTLAND MALL BRANCH,205 HOUGANG STREET 21 DBS HEARTLAND MALL BRANCH SINGAPORE 530205,530205,33770.3570985775,37957.1020015869,1.35954450890401,103.885169070198,103.885169070198,Heartland Mall
389,HEARTLAND MALL-KOVAN,205,HOUGANG STREET 21,HEARTLAND MALL-KOVAN,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,530205,33770.1681960914,37956.7995033581,1.35954177325561,103.885167372726,103.885167372726,Heartland Mall
390,HOUGANG AVENUE 1,,HOUGANG AVENUE 1,NIL,HOUGANG AVENUE 1,NIL,34288.9191260246,37636.4181857578,1.35664284566921,103.889828868222,103.889828868222,Hougang 1
391,DBS HOUGANG 1,1,HOUGANG STREET 91,DBS HOUGANG 1,1 HOUGANG STREET 91 DBS HOUGANG 1 SINGAPORE 538692,538692,33137.5887661325,39734.043159619,1.37561464129476,103.879483534695,103.879483534695,Hougang 1
392,HOUGANG 1,1,HOUGANG STREET 91,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,33136.3424516348,39745.1742408983,1.37571530699875,103.879472337592,103.879472337592,Hougang 1
393,UOB HOUGANG 1,1,HOUGANG STREET 91,UOB HOUGANG 1,1 HOUGANG STREET 91 UOB HOUGANG 1 SINGAPORE 538692,538692,33129.1220846558,39733.5139844604,1.37560985710478,103.879407455354,103.879407455354,Hougang 1
394,OCBC HOUGANG AVE 1 - 7 ELEVEN,106,HOUGANG AVENUE 1,OCBC HOUGANG AVE 1 - 7 ELEVEN,106 HOUGANG AVENUE 1 OCBC HOUGANG AVE 1 - 7 ELEVEN SINGAPORE 530106,530106,34383.7663918538,37311.2062024605,1.35370313485788,103.890680820842,103.890680820842,Hougang 1
395,DBS HOUGANG AVENUE 1,106,HOUGANG AVENUE 1,DBS HOUGANG AVENUE 1,106 HOUGANG AVENUE 1 DBS HOUGANG AVENUE 1 SINGAPORE 530106,530106,34383.7663918538,37311.2062024605,1.35370313485788,103.890680820842,103.890680820842,Hougang 1
396,UOB HOUGANG AVENUE 1,106,HOUGANG AVENUE 1,UOB HOUGANG AVENUE 1,106 HOUGANG AVENUE 1 UOB HOUGANG AVENUE 1 SINGAPORE 530106,530106,34383.7663918538,37311.2062024605,1.35370313485788,103.890680820842,103.890680820842,Hougang 1
397,DBS HOUGANG AVENUE 1,124,HOUGANG AVENUE 1,DBS HOUGANG AVENUE 1,124 HOUGANG AVENUE 1 DBS HOUGANG AVENUE 1 SINGAPORE 530124,530124,33935.9913146188,37221.2811124828,1.3528899770961,103.886657257578,103.886657257578,Hougang 1
398,UOB HOUGANG AVENUE 1,121,HOUGANG AVENUE 1,UOB HOUGANG AVENUE 1,121 HOUGANG AVENUE 1 UOB HOUGANG AVENUE 1 SINGAPORE 530121,530121,33964.8989946116,37326.0046131834,1.35383705299112,103.886917032282,103.886917032282,Hougang 1
399,DBS HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,DBS HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 DBS HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Green Shopping Mall
400,OCBC HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,OCBC HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 OCBC HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Green Shopping Mall
401,HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34066.6627102559,40135.5216910187,1.3792452907016,103.887832017102,103.887832017102,Hougang Green Shopping Mall
402,DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Green Shopping Mall
403,UOB HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,UOB HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 UOB HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Green Shopping Mall
404,HOUGANG MALL,90,HOUGANG AVENUE 10,HOUGANG MALL,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,34728.1240016175,39389.1175711397,1.37249493810003,103.893775562605,103.893775562605,Hougang Mall
405,DBS HOUGANG MALL,90,HOUGANG AVENUE 10,DBS HOUGANG MALL,90 HOUGANG AVENUE 10 DBS HOUGANG MALL SINGAPORE 538766,538766,34729.5238958644,39387.8072095886,1.37248308734511,103.893788141349,103.893788141349,Hougang Mall
406,UOB HOUGANG MALL,90,HOUGANG AVENUE 10,UOB HOUGANG MALL,90 HOUGANG AVENUE 10 UOB HOUGANG MALL SINGAPORE 538766,538766,34729.5238958644,39387.8072095886,1.37248308734511,103.893788141349,103.893788141349,Hougang Mall
407,DBS NTUC HOUGANG MALL,90,HOUGANG AVENUE 10,DBS NTUC HOUGANG MALL,90 HOUGANG AVENUE 10 DBS NTUC HOUGANG MALL SINGAPORE 538766,538766,34729.5238958644,39387.8072095886,1.37248308734511,103.893788141349,103.893788141349,Hougang Mall
408,OCBC HOUGANG MALL BRANCH,90,HOUGANG AVENUE 10,OCBC HOUGANG MALL BRANCH,90 HOUGANG AVENUE 10 OCBC HOUGANG MALL BRANCH SINGAPORE 538766,538766,34729.5238958644,39387.8072095886,1.37248308734511,103.893788141349,103.893788141349,Hougang Mall
409,HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34066.6627102559,40135.5216910187,1.3792452907016,103.887832017102,103.887832017102,Hougang Mall
410,DBS HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,DBS HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 DBS HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Mall
411,DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Mall
