,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
56,AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL,250,TAMPINES STREET 12,AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL SINGAPORE 529426,529426,40270.0982013792,36955.7182075791,1.3504863946694,103.943573098509,103.943573098509,Tampines Primary School
57,TAMPINES NORTH PRIMARY SCHOOL,30,TAMPINES AVENUE 9,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 TAMPINES NORTH PRIMARY SCHOOL SINGAPORE 529565,529565,40843.482626386,38060.3925251346,1.36047641484682,103.948725782833,103.948725782833,Tampines Primary School
58,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30,TAMPINES AVENUE 9,BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL),30 TAMPINES AVENUE 9 BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL) SINGAPORE 529565,529565,40848.2810703805,38061.6583322138,1.36048786025607,103.948768900518,103.948768900518,Tampines Primary School
59,BUKIT PANJANG PRIMARY SCHOOL,109,CASHEW ROAD,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,679676,20883.8530479269,39513.7297099214,1.37362179302436,103.769374904025,103.769374904025,Bukit Panjang Primary School
60,KONG HWA SCHOOL,350,GUILLEMARD ROAD,KONG HWA SCHOOL,350 GUILLEMARD ROAD KONG HWA SCHOOL SINGAPORE 399772,399772,34124.7036575247,32588.943696009,1.31099674009193,103.888352029067,103.888352029067,Kong Hwa School
61,VALOUR PRIMARY SCHOOL,49,PUNGGOL CENTRAL,VALOUR PRIMARY SCHOOL,49 PUNGGOL CENTRAL VALOUR PRIMARY SCHOOL SINGAPORE 828728,828728,35318.1306347065,43186.3631934691,1.40683570215319,103.899078139493,103.899078139493,Valour Primary School
62,ZHENGHUA PRIMARY SCHOOL,9,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,679002,20877.0395431835,40169.1169131137,1.37954887512229,103.769313521752,103.769313521752,Zhenghua Primary School
63,HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,103.844240226564,Huamin Primary School
64,WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29212.0174563685,45411.3805951737,1.42695886300879,103.844209671353,103.844209671353,Huamin Primary School
65,MAHA BODHI SCHOOL,10,UBI AVENUE 1,MAHA BODHI SCHOOL,10 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408931,408931,35565.4979411988,34521.1796176471,1.32847086658384,103.901298737314,103.901298737314,Maha Bodhi School
66,MAHA BODHI SCHOOL,12,UBI AVENUE 1,MAHA BODHI SCHOOL,12 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408932,408932,35565.4979109308,34521.1795873791,1.32847086631012,103.901298737042,103.901298737042,Maha Bodhi School
67,AFTER SCHOOL @ MAHA BODHI SCHOOL,10,UBI AVENUE 1,AFTER SCHOOL @ MAHA BODHI SCHOOL,10 UBI AVENUE 1 AFTER SCHOOL @ MAHA BODHI SCHOOL SINGAPORE 408931,408931,35566.4064952666,34533.273462953,1.32858023873554,103.901306904157,103.901306904157,Maha Bodhi School
68,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52,SUMANG WALK,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52 SUMANG WALK KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL) SINGAPORE 828674,828674,35298.7904222226,43711.4672181848,1.41158455562454,103.89890448429,103.89890448429,Punggol Cove Primary School
69,PUNGGOL COVE PRIMARY SCHOOL,52,SUMANG WALK,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674,828674,35287.5991076548,43713.0898242556,1.41159923273069,103.898803921164,103.898803921164,Punggol Cove Primary School
