flat,park,park_dist,num_park_2km
80 BEDOK NTH RD,Bedok Town Park,2.1352165914054533,0
602 BEDOK RESERVOIR RD,Bedok Town Park,1.3218434078667876,1
140 BEDOK RESERVOIR RD,Bedok Town Park,0.9989106170348694,1
35 CHAI CHEE AVE,Bedok Town Park,1.1325099255039175,2
108 BEDOK RESERVOIR RD,Bedok Town Park,1.5143245622782517,1
5 BEDOK STH AVE 2,East Coast Park,1.7568951278283715,2
135 BEDOK RESERVOIR RD,Bedok Town Park,1.1022570369011218,1
132 BEDOK RESERVOIR RD,Bedok Town Park,1.185829690794536,1
613 BEDOK RESERVOIR RD,Bedok Town Park,0.6538783738723469,1
532 BEDOK NTH ST 3,Bedok Town Park,0.33886179833686747,1
61 CHAI CHEE RD,Bedok Town Park,1.0428271054255187,1
619 BEDOK RESERVOIR RD,Bedok Town Park,0.5269376845260033,1
201 BEDOK NTH ST 1,Bedok Town Park,1.1284672085065988,1
43 CHAI CHEE ST,Bedok Town Park,0.7637394696811654,1
508 BEDOK NTH AVE 3,Bedok Town Park,1.137273709199887,1
43 BEDOK STH RD,East Coast Park,2.099415612590716,0
170 BEDOK STH RD,East Coast Park,2.399737812152596,0
704 BEDOK RESERVOIR RD,Bedok Town Park,0.32210610877641915,1
171 BEDOK STH RD,East Coast Park,2.353471834270915,0
35 BEDOK STH AVE 2,East Coast Park,2.043764557646138,0
82 BEDOK NTH RD,Bedok Town Park,2.080332650998281,0
428 BEDOK NTH RD,Bedok Town Park,0.7979995811200327,1
104 BEDOK RESERVOIR RD,Bedok Town Park,1.4956100938115169,1
120 BEDOK RESERVOIR RD,Bedok Town Park,1.4364219143224592,1
611 BEDOK RESERVOIR RD,Bedok Town Park,0.8826390384565965,1
545 BEDOK NTH ST 3,Bedok Town Park,0.5195295727123287,1
101 BEDOK RESERVOIR RD,Bedok Town Park,1.529949999741255,1
612 BEDOK RESERVOIR RD,Bedok Town Park,0.7752073680469623,1
404 BEDOK NTH AVE 3,Bedok Town Park,1.4032047735118052,1
601 BEDOK RESERVOIR RD,Bedok Town Park,1.2865788546187709,1
763 BEDOK RESERVOIR VIEW,Bedok Town Park,1.401362047232128,1
647 JLN TENAGA,Bedok Town Park,1.8763133837460937,1
766 BEDOK RESERVOIR VIEW,Bedok Town Park,1.5598558073125628,1
772 BEDOK RESERVOIR VIEW,Bedok Town Park,1.74516303984719,1
660 JLN TENAGA,Bedok Town Park,1.7368873178582689,1
137 BEDOK NTH AVE 3,Bedok Town Park,1.5888522253782948,1
671 JLN DAMAI,Bedok Town Park,1.5151511481917617,1
114 BEDOK RESERVOIR RD,Bedok Town Park,1.4554761259123412,1
715 BEDOK RESERVOIR RD,Bedok Town Park,0.3468815283616997,1
53 CHAI CHEE ST,Bedok Town Park,0.7074401529191436,1
183 BEDOK NTH RD,Bedok Town Park,2.342178310523338,0
111 LENGKONG TIGA,Bedok Town Park,1.6787755204289752,1
145 BEDOK RESERVOIR RD,Bedok Town Park,1.1366995592535014,1
717 BEDOK RESERVOIR RD,Bedok Town Park,0.49051108972612656,1
666 JLN DAMAI,Bedok Town Park,1.5881325901234256,1
116 LENGKONG TIGA,Bedok Town Park,1.735219624661096,1
629 BEDOK RESERVOIR RD,Bedok Town Park,0.8317041615562274,1
96 BEDOK NTH AVE 4,Bedok Town Park,2.005596681968408,0
99 BEDOK NTH AVE 4,Bedok Town Park,1.9061524158519647,1
505 BEDOK NTH AVE 3,Bedok Town Park,1.25562471013479,1
102 LENGKONG TIGA,Bedok Town Park,1.6260503288897254,1
72 BEDOK STH AVE 3,East Coast Park,2.1674696985875155,0
719 BEDOK RESERVOIR RD,Bedok Town Park,0.3554335473776217,1
220B BEDOK CTRL,Bedok Town Park,1.6603244695367414,1
110 LENGKONG TIGA,Bedok Town Park,1.7405970257145575,1
160 BEDOK STH AVE 3,East Coast Park,2.2208413770575746,0
103 LENGKONG TIGA,Bedok Town Park,1.6132061172533412,1
10E BEDOK STH AVE 2,East Coast Park,1.8173064835913313,1
115 BEDOK NTH RD,Bedok Town Park,1.648500845169842,1
403 SIN MING AVE,Bishan-Ang Mo Kio Park,0.39319191096089473,2
150A BISHAN ST 11,Toa Payoh Town Park,1.7768328668336777,1
115 BISHAN ST 12,MacRitchie Reservoir Park,1.8293230288768128,2
116 BISHAN ST 12,MacRitchie Reservoir Park,1.8827328874525169,2
111 BISHAN ST 12,MacRitchie Reservoir Park,1.7234472219087802,2
153 BISHAN ST 13,Toa Payoh Town Park,1.8936825419402947,1
455 SIN MING AVE,Bishan-Ang Mo Kio Park,0.9505662475319427,2
445 SIN MING AVE,Bishan-Ang Mo Kio Park,0.8773293921452683,2
239 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.0796720799343935,3
